"module","module_size","overlap","p","FDR","genes"
"28","681","14","0.0041661","0.084837","PDLIM4;CDH13;DPYSL2;MFGE8;LAYN;AGPAT4;LPL;ZNF827;MXRA7;FHL5;ANKRD13B;PNMA2;LMOD1;TCF21"
"81","5649","69","0.0052699","0.098371","FAM213A;HHIPL1;PPP2R1B;MRPL21;MXRA7;MFGE8;PCCB;POLR3D;TANGO2;LRFN5;BCAM;TMEM59L;ANKRD13B;PSTPIP1;BTBD16;PHYHIP;FURIN;PPP1R3G;DRG2;APOE;PEPD;OLFM5P;RRP1B;ENGASE;UBE2Z;NGRN;DMPK;SF3A3;S100A5;GDPGP1;EXOSC5;AP4M1;FOLH1;PDLIM4;MRGPRF-AS1;ST3GAL4;NAGLU;QPCTL;NIPSNAP1;MRGPRF;CHST8;DCPS;MAP1S;IGHMBP2;FES;EPS15L1;CENPW;CYP3A7;TSPAN9;TUBG2;SORT1;THOC5;CYP17A1-AS1;PAFAH2;PPP1R9B;DMWD;BMP1;MCM6;CTSH;LINC01137;GSTM3;GSK3A;PGPEP1;OTOF;SREBF1;AMIGO1;RNF123;HAPLN3;STAG3L5P"
"180","43","3","0.0070615","0.12167","PCCB;EXTL1;PPP1R1C"
"31","820","15","0.0087029","0.13925","WDR6;ADAMTS7;TPCN2;CELSR2;LLGL1;TAF11;PCMT1;C11orf1;SIDT2;RAI1;KATNA1;TOM1L2;SUFU;NDE1;CDC123"
"177","406","9","0.012684","0.16835","CNNM2;CYFIP2;PREX1;SYNPO2;NT5C2;ARHGAP26;SLC22A3;SORT1;NBEAL1"
"123","625","12","0.012743","0.16835","GID4;RPL12P16;SNF8;BCAM;TRIM58;LMOD1;GSK3A;TANGO2;OR2W3;FAM117B;RNF123;FURIN"
"190","19","2","0.012777","0.16835","USP32P1;CCDC144A"
"50","156","5","0.014381","0.17896","CDKN2B;PSMA5;RPL7A;SNRPD2;SNHG8"
"53","718","13","0.015200","0.17920","COL7A1;PREX1;RAI1;IPO9;SREBF1;FHL3;MCM6;MAP1S;FES;ST3GAL4;SF3A3;PSTPIP1;PPP1R9B"
"69","499","10","0.016866","0.18890","GGCX;POLR3D;ANAPC13;KATNA1;PAK1IP1;PCDHGB6;CENPW;PVRIG;FDX1;CFDP1"
"38","822","14","0.019333","0.19811","PPP1R3G;CTSH;PSRC1;DPYSL2;CALCRL;CENPW;PTX3;FBN2;SIDT2;FAM114A1;SORT1;CDKN2B;MAFB;HTRA1"
"41","169","5","0.019631","0.19811","ZKSCAN1;GDPGP1;PPP1R1C;SSFA2;SEMA5A"
"137","299","7","0.020341","0.19811","INPP5B;GGCX;ARNT;SMAD3;POLR3D;PCDHGB6;IPO9"
